zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.83,13.92,4675,68751785733301.29,5.0651976447027325,0.21776797531537767,1.7045947852707801,0.09409498076676862,1.1807283664202703,0.29715831118697134,0.05371750641174445,0.04527942416896936,0.1807706679889748,0.1523747526633359,0.03834872224358208,2.07809539959072,3.8593932697558584
16.84,13.29,4644,70659736159042.77,5.194288826428682,0.1607147221902026,1.629970782315279,0.08440533505693275,1.4270831187956596,0.4052170919211898,0.05719082212450335,0.06141159652462137,0.14113625329413873,0.15155233515314118,0.04303295001937076,1.8135922071062787,3.9693614783574116
16.85,13.55,4662,70059389315596.73,5.147342616862033,0.20618062417412114,1.7064321572834553,0.09485554898470243,1.3208142013327746,0.33148682299640064,0.056682880543110985,0.11389184208239621,0.17099587860156498,0.34357879161800914,0.08622851114674042,1.863575135327208,3.9229857392960072
16.86,13.11,4643,71567852489908.25,5.242284757330301,0.1467436695001365,1.554113953948647,0.07694727574269229,1.4833802934322018,0.431424173681137,0.08132052351294122,0.004668281756314889,0.18849320106259213,0.010820630926826988,0.003147056609140705,1.8555247128294268,4.009905194789151
16.87,13.35,4655,70983389992322.47,5.1989773426002985,0.17885457664355978,1.678906770683717,0.09257246855146886,1.4482271535440563,0.38435453747055903,0.05329221776415585,0.10989797840031837,0.13865380155226592,0.28592866139569484,0.07588448961986348,1.753143897116953,3.9758018644740445
16.88,13.23,4652,71347379332486.36,5.2271376316722,0.15432684668222635,1.6119240128068213,0.08164773874504054,1.4101948410803877,0.43116495606563693,0.0612179386661552,0.018613171546306956,0.1419826398341054,0.043169490665826385,0.01319900697696987,1.9050729387215732,3.9983967515842718
16.89,13.84,4685,69307684619665.34,5.111027340569129,0.21044565619845576,1.6996814735524945,0.09483217229152274,1.2757356659382952,0.31961876598216127,0.055479133910019476,0.1006833092684848,0.17357908800985705,0.31501063136607,0.07892176409008123,1.914343312618595,3.897848051913978
16.9,13.44,4664,70654951490163.64,5.191206254759116,0.22695988267870107,1.7741916727915028,0.10544554566204567,1.4053081590824905,0.30955272755372043,0.04227109438556847,0.1446409862627724,0.1365553930654113,0.4672579931884822,0.10292474666709885,1.8081054442942153,3.9640547100772485
16.91,12.79,4622,72814724514301.14,5.34820206392576,0.10206068295180581,1.5679323806597225,0.03944564397218288,1.7163431763592094,0.05623552864573098,0.05436321875399954,0.30457076560248814,0.9667059252963283,5.415984750871709,0.17745330292777373,1.568525830027818,4.10604072356275
16.92,13.42,4674,70804252594241.52,5.209766202942269,0.2591180881209181,1.7976832344442941,0.10408662925964453,1.3724207149072538,0.1911065060761072,0.021024516433245582,0.21153299989425278,0.1100146555181783,1.1068853920128225,0.15413130798491909,1.8421132072741555,3.9822988023205617
16.93,13.06,4653,72045407497970.17,5.293472096644193,0.14530509433941113,1.5429136064118718,0.0754623990090527,1.5317461088608844,0.43015500068563994,0.09256675898920057,0.005933637446473463,0.21519396227326196,0.013794184507946249,0.00387377347469558,1.8364016852816496,4.057979851071656
16.94,13.62,4683,70136542754132.99,5.17867572462406,0.21591486641663155,1.7197307209887749,0.09680665283585961,1.3416161540896092,0.32408225515561245,0.05547022703192371,0.12349832847618447,0.17116095111498447,0.38107093650309576,0.09205190925864162,1.8678517277704545,3.9616828766538337
16.95,13.89,4701,69356210447174.5,5.128920358696677,0.22160737373231645,1.7210684852054803,0.09709600519938917,1.2932365363650264,0.3116005829439144,0.055123639346343636,0.11553221425745389,0.1769048017354494,0.37077021219260287,0.08933571779698311,1.9055275727082057,3.922044244975256
